Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster
37,Advanced Algorithms,CSE320/CSE520,AA,"""CSE102""",None,None,Monsoon,,4,CSE
38,Theory of Computation,CSE322,ToC,CSE121,None,None,Winter,Debajyoti Bera,4,CSE
39,Computer Graphics,CSE333/CSE533,CG,"""CSE101""","""CSE102""",None,Monsoon,Ojaswa Sharma,4,CSE
40,Statistical Machine Learning,CSE342/CSE542,SML,"""CSE101,MTH201""",None,None,Winter,Richa Singh,4,CSE
41,Machine Learning,CSE343/CSE543,ML,"""MTH100, MTH201, CSE101, MTH203""",None,None,Monsoon,Saket Anand,4,CSE
42,Computer Vision,CSE344/CSE544/ECE344/ECE544,CV,"""MTH100""","""CSE540,ECE351""",None,Winter,Saket Anand,4,CSE
43,Foundations of Computer Security,CSE345/CSE545,FCS,None,"""CSE232""",None,Monsoon,Arun Balaji,4,CSE
44,Complexity Theory,CSE421/CSE621,CT,None,None,None,Monsoon,,4,CSE
45,Introduction to Intelligent Systems,CSE440,IS-I,None,None,None,Winter,,,CSE
46,Advanced Biometrics,CSE441/CSE541,BIOM,None,"""MTH201, CSE343/CSE543""",None,Winter,Mayank Vatsa,4,CSE
47,Designing Human Centered Systems,CSE501,DHCS,None,None,None,Monsoon,Ponnurangam Kumaraguru,4,CSE
48,Foundations of Parallel Programming,CSE502,FPP,"""CSE101, CSE102, CSE201""",None,None,Winter,,4,CSE
49,Program Analysis,CSE503,PA,"""CSE102, CSE201""",CSE322,None,Monsoon,Rahul Purandare,4,CSE
50,Data Mining,CSE506,DMG,"""CSE202, CSE101, MTH100, MTH201""",Programming in Java,None,Monsoon,Vikram Goyal,4,CSE
51,Database System Implementation,CSE507,DBSI,"""CSE202, CSE102""",None,None,Monsoon/Winter,Viswanath Gunturi,4,CSE
52,Information Retrieval,CSE508,IR,"""CSE102,CSE201,CSE202""",ECE5ML,None,Winter,,4,CSE
53,Big Data Analytics,CSE510,BDA,"""CSE202""","""CSE343/CSE543,CSE506""",None,Winter,Vikram Goyal,2,CSE
54,Computer Architecture,CSE511/ECE511,CA,None,None,None,Monsoon,Sujay Deb,4,CSE
55,Randomized Algorithms,CSE523,RA,"""CSE222,CSE121,MTH201""",None,None,Winter,Rajiv Raman,4,CSE
56,Theory of Modern cryptography,CSE524,TMC,None,"""CSE121,CSE546""",None,Monsoon,,4,CSE
57,Graduate Algorithms,CSE525,GA,"""CSE222""",None,None,Monsoon,,,CSE
58,Convex Optimization,CSE528/ECE528,CO,"""CSE344/CSE544/ECE344/ECE544""",None,None,Monsoon,,2,CSE
59,Approximation Algorithms,CSE529,AAG,"""CSE222""",None,None,Winter,Syamantak Das,*not found*,CSE
60,Distributed Systems Security,CSE530,DSS,None,None,None,Winter,,,CSE
61,Multi-Agent Systems,CSE531,MAS,None,None,None,Monsoon/Winter,,4,CSE
62,Mobile Computing,CSE535,MC,CSE101,"""CSE231, CSE232, CSE201""",None,Monsoon,Pushpendra Singh,4,CSE
63,Wireless Networks,CSE538/ECE538,WN,CSE232,"""CSE231,CSE201""",None,Winter,Mukulika Maity,4,CSE
64,Applied Cryptography,CSE546,AC,"""CSE121""",None,None,Monsoon,,4,CSE
65,Natural Language Processing,CSE551,NLP,CSE101,None,None,Monsoon,Tanmoy Chakraborty,4,CSE
66,Security Engineering,CSE552,SE,CSE231,CSE335/CSE545,None,Monsoon,,4,CSE
67,Introduction to Spatial Computing,CSE555,ISC,None,None,None,Monsoon,Vishwanath Gunturi,,CSE
68,Data Science,CSE558,DS,"""CSE101""","""MTH100""",None,Monsoon,Debarka Sengupta,4,CSE
69,Mining Large Networks,CSE559,MLN,"""CSE222, CSE101, MTH201"" ","Any Machine Learning course (ML/SML/AML/DL), Graph theory ",None,Monsoon,Tanmoy Chakraborty,4,CSE
70,GPU Computing,CSE560,GPU,"""CSE101""","""CSE102""",None,Winter,,4,CSE
71,Probabilistic Graphical Models,CSE561,PGM,MTH201,None,None,Winter,,4,CSE
72,Advanced Computer Vision,CSE562,ACV,"""CSE344/CSE544/ECE344/ECE544""",None,None,Monsoon,,4,CSE
73,Multimedia Computing and Applications,CSE563,MCA,None,"""CSE556, CSE343/CSE543/ECE5ML, CSE344/CSE544/ECE344/ECE544""",None,Winter,,4,CSE
74,Reinforcement Learning,CSE564,RL,MTH201,None,None,Monsoon,Sanjit K Kaul,4,CSE
75,Software Defined Networking,CSE565,SDN,CSE232,None,None,Monsoon,,4,CSE
76,Virtual Reality,CSE570,VR,None,CSE333/CSE533,None,Winter,Ojaswa Sharma,4,CSE
77,Introduction to Media Computing,CSE571,IMC,None ,None,None,Monsoon/Winter,,4,CSE
78,Smart Sensing for Internet of Things (IoT),CSE576,SSIoT,None,None,None,Monsoon,,4,CSE
79,Advanced Internet of Things,CSE577,AIOT,None,None,None,Winter,Juhi Ranjan,4,CSE
80,Ontology Modeling,CSE580A,OM,CSE102,CSE201,None,Monsoon/Winter,,2,CSE
81,Software Production Evolution and Maintenance,CSE582,SPEM,None,None,None,Monsoon,Rahul Mohananai,4,CSE
82,Affective Computing,CSE5AC,AFC,"""CSE101, CSE102, CSE201""","""CSE343/CSE543,CSE643""",None,Monsoon,Jainendra Shukla,4,CSE
83,Geometry Processing,CSE5GP,GP,"""CSE101""","""CSE102""",None,Monsoon/Winter,,,CSE
84,"Systems Analysis, Design and Requirements Engineering",CSE5SD,SADRE,None,None,None,Winter,Rahul Mohananai,4,CSE
85,Social Robotics,CSE5SR,SR,None,None,None,Winter,Jaitendra Shukla,2,CSE
86,Topics in Adaptive Cybersecurity,CSE5TAC,TAC,CSE345/CSE545,None,None,Monsoon,,4,CSE
87,Object Oriented Programming and Design,CSE600A/ECE600A,OOPD,None,"""CSE101, CSE102""",None,Monsoon,Naveen Prakash,2,CSE
88,Data Warehouse,CSE606,DW,"""CSE202""",None,None,Winter,Naveen Prakash,4,CSE
89,Statistical Computation,CSE609,SComp,MTH201,None,None,Monsoon,,4,CSE
90,Introduction to Quantum Computing,CSE622,IQC,MTH100,"""MTH201, CSE222""",None,Winter,,4,CSE
91,Semantic Web,CSE632,Sweb,"""CSE101,CSE202""",CSE201,None,Winter,Raghava Mutharaju,4,CSE
92,Introduction to Robotics,CSE633/ECE670,IRob,None,None,None,Winter,,4,CSE
93,Communication Networks,CSE636/ECE636,CN,"""MTH201""","""ECE501""",None,Winter,Sanjit Kaul,4,CSE
94,Collaborative Filtering,CSE640,CF,"""MTH100""","""MTH100""",None,Monsoon,,4,CSE
95,Deep Learning,CSE641,DL,None,"""CSE343/CSE543""",None,Winter,,4,CSE
96,Advanced Machine Learning,CSE642,AML,"""MTH201, CSE343/CSE543, CSE342/CSE542""",None,None,Monsoon,Richa Singh,4,CSE
97,Artificial Intelligence,CSE643,AI,"""CSE102""",None,None,Monsoon,Mayank Vatsa,4,CSE
98,Privacy and Security in Online Social Media,CSE645,PSOSM,None,None,None,Winter,Ponnurangam Kumaraguru,4,CSE
99,Multimedia Security,CSE694F/ECE651,MS,"""ECE350""",None,None,Winter,,4,CSE
100,Advanced Topics in Mobile Computing,CSE734,ATMC,"""CSE231""",None,None,Winter,,4,CSE
101,Network Anonymity and Privacy,CSE749,NAP,None,CSE232,None,Monsoon,Sambuddho Chakravarty,4,CSE
102,Topics in Cryptanalysis,CSE793A,TC,None,CSE546,None,Winter,Donghoon Chand,4,CSE
103,Design Drawing & Visualization,DES101,DDV,None,None,None,Winter,,4,DES
104,Prototyping Interactive Systems,DES130,PIS,"""CSE101,ECE111,CSE131""",None,None,Monsoon,Aman Parnami,4,DES
105,Design Processes and Perspectives,DES201,DPP,"""DES101 or DES202""",None,None,Monsoon,"""Indrani De Parker, Vibha Narula Gupta""",4,DES
106,Visual Design & Communication,DES202,VDC,DES101,None,None,Monsoon,"""Indrani De Parker, Vibha Narula Gupta""",4,DES
107,Human Computer Interaction ,DES204,HCI,None,None,None,Winter,,4,DES
108,Animation and Graphics,DES302,A&G,None,None,None,Winter,Manohar Khushlani,4,DES
109,Film Making and Radio Podcasting,DES303,FMRP,None,None,None,Monsoon,Manohar Khushlani,4,DES
110,Game Development & Design,DES512,GDD,None,None,None,Winter,,4,DES
111,"Wearable Applications, Research, Devices, Interactions",DES513,WARDI,None,None,None,Monsoon,Aman Parnami,4,DES
112,Digital Audio,DES514,DA,None,None,None,Monsoon,Aman Samuel,4,DES
113,Information Systems in Public Health,DES515,ISPR,None,None,None,Monsoon,,,DES
114,Introduction to 3D Animation,DES516s,I3D,None,None,DES302,Monsoon,,2,DES
115,Introduction to Epidemiology,DES517,IEP,"""MTH201""",None,None,Winter,,4,DES
116,Introduction to Motion Graphics,DES518,IMG,None,None,None,Winter,Anoop Ratn,4,DES
117,Design of Interactive Systems,DES519,DIS,None,"""DES304,DES130 """,None,Monsoon,Rajiv Ratn Shah,4,DES
118,Digital Circuits,ECE111,DC,None,"""ECE113""",None,Monsoon,"""Sneh Saurabh, G S Visweswaran""",4,ECE
119,Basic Electronics,ECE113,BE,None,None,None,Winter,"""Vivek Bohara, Sanat Biswas""",4,ECE
120,Integrated Electronics,ECE214,IE,"""ECE111,ECE113,DES130""",None,None,Winter,,4,ECE
121,Circuit Theory and Device,ECE215,CTD,None,None,None,Monsoon,Shobha Sundar Ram,4,ECE
122,Fields and Waves,ECE230,F&W,"""MTH100""",None,None,Winter,,4,ECE
123,Principles of Communication Systems,ECE240,PCS,"""ECE250, MTH201""",None,None,Winter,,4,ECE
124,Signals and Systems,ECE250,S&S,MTH100,MTH100,None,Monsoon,Pravesh Biyani,4,ECE
125,Embedded Logic Design,ECE270,ELD,None,None,None,Monsoon,Sumit Darak,4,ECE
126,Introduction to VLSI Design,ECE314/ECE514,DVD,None,None,None,Monsoon,Anuj Grover,4,ECE
127,Analog CMOS Circuit Design,ECE315/ECE515,CMOS,None,Electronic Device and Circuit or Network Analysis,None,Monsoon,G S Visweswaran,4,ECE
128,Solid State Devices,ECE318,SSD,None,None,None,Winter,G.S.Visweswaran,4,ECE
129,RF Circuit Design,ECE321/ECE521,RFCD,,None,None,Winter,Dr. M. S. Hashmi,4,ECE
130,Digital Communication Systems,ECE340,DCS,"""ECE240""","""ECE240""",None,Monsoon,Gourab Ghatak,4,ECE
131,Mobile Communications,ECE343,MC,ECE240,None,None,Winter,,4,ECE
132,Digital Image Processing,ECE350,DIP,"""MTH100, MTH201""","""ECE250""",None,Monsoon,A V Subramanyam,4,ECE
133,Digital Signal Processing,ECE351,DSP,"""ECE250""",None,None,Monsoon,A.V.Subramanyam,4,ECE
134,Antennas Theory and Design,ECE431/ECE631,ATD,None,Undergraduate Engineering Electromagnetics and Microwave Theory,None,Monsoon,Shobha Sundar Ram,4,ECE
135,Radar Systems,ECE432,RS,ECE250,None,None,Winter,Shobha Sundaram,4,ECE
136,Statistical Signal Processing,ECE452,SSP,"""MTH100,MTH201,ECE250""",ECE501,None,Winter,Pravesh Biyani,4,ECE
137,Probability and Random Process,ECE501,PRP,ECE240,None,None,Monsoon,Anubha Gupta,4,ECE
138,Digital Hardware Design (DHD),ECE510,DHD,"""ECE270""",None,None,Monsoon,Sumit Darak,4,ECE
139,VLSI Design Flow,ECE513,VLDIDF,None,None,None,Monsoon,,4,ECE
140,Digital VLSI Design,ECE514,DVD,None,None,None,Monsoon,Anuj Grover,4,ECE
141,System on Chip Design and Test,ECE516,SCD&T,"""ECE314/ECE514,CSE234""",None,None,Monsoon,,4,ECE
142,Introduction to Nanoelectronics,ECE517,INE,None,None,None,Winter,,4,ECE
143,Intelligent Applications Implementation on Heterogeneous Platforms,ECE519,IAI,None,None,None,Monsoon,Sumit Mediratta,4,ECE
144,Satellite Navigation and Sensor Fusion,ECE533,SNSF,ECE351,ECE501,None,Monsoon,Sanat Biswas,4,ECE
145,Optical Communications Systems,ECE534,OCS,ECE240,None,None,Winter,,4,ECE
146,Optical Networking,ECE536s,ON,None,"""CSE636/ECE636, ECE534, CSE102""",None,Summer,,2,ECE
147,Wireless Communication Evolution from 3G to 5G,ECE537,WCE,ECE240,"""ECE340,ECE543""",None,Monsoon,,4,ECE
148,Wireless System Implementation,ECE539,WSI,ECE240,"""ECE340,ECE543""",None,Winter,Vivek Bohara,4,ECE
149,Principals of Digital Communication System,ECE543,PDCS,ECE240,ECE501,None,Monsoon,Anand Srivastava,4,ECE
150,Compressive Sensing,ECE554,CS,"""MTH100""",None,None,Monsoon,,4,ECE
151,Speech Recognition and Understanding,ECE557,SRU,ECE250,"""ECE351,CSE343/CSE543 or CSE342""",None,Winter,Saket Anand,4,ECE
152,Transform Learning and Applications,ECE558,TLA,MTH100,None,ECE362/ECE562,Winter,Anubha Gupta,4,ECE
153,Modeling and Analysis of Random 5G Networks,ECE55G,5GN,MTH201,MATLAB,None,Winter,Gourab Ghatak,4,ECE
154,Control Theory,ECE570,CNT,None,None,None,Monsoon,Sanat Biswas,4,ECE
155,Optimal Control Systems,ECE571,OCS,None,None,None,Winter,,4,ECE
156,Advanced Embedded Logic Design,ECE573,AELD,"""CSE234""",None,None,Winter,Sumit Mediratta,4,ECE
157,Machine Learning Techniques for Real Time Control,ECE577,MLRC,None,"""MTH100, CSE343/CSE543, ECE570""",None,Winter,,4,ECE
158,Nonlinear and Adaptive Control of Robotic Systems,ECE579,NLR,None,ECE570,None,Monsoon,Sayan Basu Roy,4,ECE
159,Autonomous Driving,ECE581,AD,None,None,None,Winter,,2,ECE
160,Memory Design and Testing,ECE611,MDT,"""ECE111, ECE113, CSE511/ECE511""",None,None,Winter,,4,ECE
161,Mixed Signal Design,ECE612,MSD,"""ECE315/ECE515""",ECE213,None,Winter,,4,ECE
162,Stochastic Estimation and Control,ECE672,SEC,ECE501,None,None,Winter,,2,ECE
163,Microeconomics,ECO101,ME,None,None,ECO301,Winter,,4,OTHERS
164,Macroeconomics,ECO201,MA,None,None,None,Monsoon,Kiriti Kanjilal,4,OTHERS
165,Money and Banking,ECO223,MB,None,None,None ,Winter,Kiriti Kanjilal,4,OTHERS
166,Introduction to Economic Analysis,ECO301,IEA,None,"Matrix Algebra, Calculus",None,Monsoon/Winter,,4,OTHERS
167,Game Theory,ECO311,GMT,None,None,"""ECO304""",Monsoon,Rakesh Chathurvedi,4,OTHERS
168,Industrial Organization,ECO312,IO,"""ECO101 or ECO311""",None,None,Winter,,4,OTHERS
169,Market Design,ECO313,MD,ECO311,None,None,Winter,,4,OTHERS
170,Econometrics I,ECO321,ECO,"""MTH201""",None,"""ECO302""",Monsoon,Gaurav Arora,4,OTHERS
171,Spatial Statistics and Spatial Econometrics,ECO324/ECO524,SSSE,"""ECO321""",MTH372,None,Winter,,4,OTHERS
172,Foundations of Finance,ECO331,FF,None,None,"""FIN401""",Monsoon,Pankaj Vajpayee,4,OTHERS
173,Valuation and Portfolio Management,ECO332,VPM,None,None,None,Winter,Pankaj Vajpayee,4,OTHERS
174,Decision Theory,ECO503,DT,None,None,None,Monsoon,Rakesh Chathurvedi,4,OTHERS
175,Research Methods,ENG599s,RM,None,None,None,Winter,Angshul Majumdar,2,OTHERS
176,Environmental Sciences,ESC205,EVS,None,None,ESC207A,Monsoon,,2,OTHERS
177,"Ecology, Evolution, and Environment",ESC207A,EEE,None,None,"""ESC205""",Monsoon,Swapna Purandare,2,OTHERS
178,Effective Supply Chain for E Commerce,MGT310,ESCM,None,None,None,Monsoon,Sanjiva Dubey,4,OTHERS
179,Emerging Issues in IT Management,MGT311,EIITM,None,None,None,Winter,,4,OTHERS
180,Math I (Linear Algebra),MTH100,M-I,None,None,None,Monsoon,Samaresh Chatterji,4,MTH
181,Introduction to Mathematical Logic,MTH200,IML,None,"""CSE121/MTH210""",None,Winter,,4,MTH
182,Math II (Probability and Statistics),MTH201,P&S,None,None,None,Winter,"""Angshul Majumdar,Sanjit Kaul""",4,MTH
183,Mathematics III (Multivariate Calculus),MTH203,M-III,None,None,MTH240,Monsoon,"""Sarthok Sircar, Kaushik Kalyanraman""",4,MTH
184,Mathematics IV (Differential Equations),MTH204,M-IV,MTH203,None,None,Winter,,4,MTH
185,Discrete Structures,MTH210,DS,None,None,None,Monsoon,Rajiv Raman,4,MTH
186,Number Theory,MTH211,NT,None,None,None,Monsoon,Anuradha Sharma,4,MTH
187,Abstract Algebra I,MTH212,AA-I,None,"""MTH100""","""MTH302""",Winter,Anuradha Sharma,4,MTH
188,Real Analysis I,MTH240,RA-I,None,None,MTH203,Monsoon,Sankha S Basu,4,MTH
189,Numerical Methods,MTH270,NM,"""MTH100, MTH204""",None,None,Monsoon/Winter,,4,MTH
190,Algebra,MTH302,ALG,None,None,"""MTH212""",Monsoon,,4,MTH
191,Graph Theory,MTH310,GT,None,"""MTH100,CSE121""",None,Winter,,4,MTH
192,Combinatorics and its Applications,MTH311,CIA,"""MTH100 ""","""MTH302""",None,Winter,Samrith Ram,4,MTH
193,Real Analysis-II,MTH340,RA-II,MTH240,None,None,Monsoon,Shilpak Banerjee,4,MTH
194,Complex Analysis,MTH341,CmpA,"""MTH240""",None,None,Monsoon,Ashish Kumar Pandey,4,MTH
195,Introduction to Dynamical Systems,MTH343/MTH543,IDS,"""MTH100, MTH203, MTH240""","""MTH204,MTH340,MTH510""",None,Winter,,4,MTH
196,Stochastic Processes and Applications,MTH371,SPA,MTH201,ECE501,None,Monsoon,Monika Arora,4,MTH
197,Statistical Inference,MTH372,SI,None,None,"""ECE452/ECE552, ECO321, CSE609""",Winter,Monika Arora,4,MTH
198,Scientific Computing,MTH373,SC,MTH100,"""MTH204,MTH203,MTH240""",MTH270,Monsoon,Kaushik Kalyanaraman,4,MTH
199,Linear Optimization,MTH374/MTH574,LO,MTH100,CSE101,MTH305/505,Winter,,4,MTH
200,Fluid Mechainics,MTH375/MTH575,FM,"""MTH204""",None,None,Monsoon,,4,MTH
201,Advanced Linear Algebra,MTH510,ALA,"""MTH100""",None,None,Monsoon,,4,MTH
202,Algebraic Number Theory,MTH512,ANT,None,None,None,Monsoon,,4,MTH
203,Abstract Algebra II,MTH513,AA-II,"""MTH100, MTH212""",None,None,Winter,Anuradha Sharma,4,MTH
204,Coding Theory,MTH514,CT,"""MTH100, MTH212, MTH513""",None,None,Winter,,4,MTH
205,Analytic Number Theory,MTH516,ANT,MTH341,MTH211,None,Winter,,4,MTH
206,Combinatorial Optimization,MTH517,CO,MTH374/MTH574,MAD,None,Winter,,4,MTH
207,Calculus in R^N,MTH544,CRN,"""MTH100, MTH203 or MTH240""","Prior familiarity with metric spaces, point-set topology, basic differential geometry, and linear optimization may help understand topics better but will not be presumed.",None,Winter,,4,MTH
208,Introduction to PDE,MTH550,IPDE,MTH204,None,None,Winter,,4,MTH
209,Numerical Solutions Differential Equations,MTH570,NSDE,"""MTH100, MTH203, MTH240""","""MTH270, MTH204""",None,Winter,,4,MTH
210,Integral Transforms and their Applications,MTH571,ITA,"""MTH204""","""MTH341""",None,Winter,,4,MTH
211,Introduction to Functional Analysis,MTH598,IFA,"""MTH100""","""MTH203""",None,Winter,,,MTH
212,Numerical Partial Differential Equations,MTH598,NPDE,"""MTH100, MTH203, MTH240""",None,MTH570,Winter,,4,MTH
213,Variational Calculus and their Applications,MTH599,VCA,MTH203,None,None,Monsoon,Sarthok Sircar,4,MTH
214,Introduction to Cognitive Psychology,PSY201,Psy,SSH101,None,HSS204,Monsoon,,4,OTHERS
215,Positive Psychology,PSY202,Ppsy,None,None,None,Winter,,4,OTHERS
216,Cognitive Psychology,PSY301,CP,None,None,"""PSY201""",Winter,Venkata Ratandeep Suri,4,OTHERS
217,Social Psychology,PSY302,SP,None ,None,None,Winter,Venkata Ratandeep Suri,4,OTHERS
218,Attention and Perception,PSY305,AP,None,None,None,Winter,Sonia Baloni Ray,4,OTHERS
219,Learning and Memory,PSY306,LM,None,None,None,Winter,Mrinmoy Charabarty,4,OTHERS
220,Introduction to Sociology and Anthropology,SOC101,ISA,SSH101,None,"""HSS205, HSS215""",Winter,Amrit Srinivasan,4,OTHERS
221,Contemporary India Sociological Perspective,SOC202,CISP,None,None,None,Monsoon,Paro Mishra,4,OTHERS
222,Sociology of New Media,SOC204,SNM,None,None,None,Monsoon,Aasim Khan,4,OTHERS
223,Anthropology and Social Media,SOC205,ASM,None,None,None ,Winter,Swati Mantri(V),4,OTHERS
224,Business Anthropology,SOC206,BA,None,None,None,Monsoon,Shriram Venktraman,4,OTHERS
225,Information Technology And Society,SOC207,ITS,None,SOC201,"""HSS212, SSH101""",Winter,,4,OTHERS
226,Organizations An Anthropological Perspective,SOC208,OAP,None,None,None,Winter,,4,OTHERS
227,Consumer Culture and Society,SOC209,CCS,None,None,None ,Winter,Swati Mantri(V),4,OTHERS
228,Sociological Theory,SOC210,ST1,None,None,None ,Winter,Gayatri Nair,4,OTHERS
229,"Science, Technology and Society",SOC211,STS,None,None,None ,Winter,Shireen Mirza,4,OTHERS
230,Urban Sociology,SOC302,US,None,None,None ,Winter,Smriti Singh,4,OTHERS
231,Digital Social Research,SOC307,DSR,None,None,None,Monsoon,Swati Mantri(V),4,OTHERS
232,Gender and Media,SOC308,IPHI,None,None,None,Monsoon,Swati Mantri(V),4,OTHERS
233,Critical Thinking and Readings in Social Science ,SSH101,CTRSS,None,None,None,Winter,Aaasim Khan,4,SSH
234,Introduction to Philosophy,SSH121,IPHI,None,None,None,Monsoon,Raj Ayyar,4,SSH
235,Critical Thinking,SSH124,CT,None,None,"""SSH101""",Winter,Raj Ayyar,4,SSH
236,Research Methods in Social Science and Design,SSH201,RMSSD,SSH101,None,None,Monsoon,Venkata Ratandeep Suri,4,SSH
237,Theatre Appreciation,SSH211,TA,None,None,HSS211,Monsoon,Manohar Khushalani,4,SSH
238,Introduction To The Study Of Literature,SSH214,Lit,None,None,None,Winter,,4,SSH
239,Nation and her Narratives,SSH215,NN,None,None,None,Winter,Payel C Mukherjee(V),4,SSH
240,Introduction to Indian Mythology,SSH216,IIM,None,None,"""HSS219""",Monsoon,Saumya Kulshreshtha,2,SSH
241,Indian Poetry Through the Ages,SSH217,IPA,None,None,None,Winter,,2,SSH
242,Social and Political Philosophy,SSH221,SPP,None,None,None,Monsoon,Manohar Kumar,4,SSH
243,Theory and Practice of Engineering Ethics,SSH222,TPEE,None,None,None,Winter,Shweta Singh,4,SSH
244,Perspectives of Knowledge,SSH223,PoK,None,None,None,Monsoon,Shweta Singh,4,SSH
245,"Computer, Information Ethics and Society",SSH224,CIES,None,None,None,Winter,Shweta Singh,4,SSH
246,Democracy in India: Principles and Practices,SSH261,DIPP,None,None,None,Winter,Praveen Priyadarshi,4,SSH
247,Advanced Writing,SSH311,AW,None,None,None,Winter,Payel C Mukherjee(V),4,SSH
248,Applied Ethics,SSH321,AE,None,None,None,Winter,Manohar Kumar,4,SSH
249,Philosophy of Technology,SSH322,PT,None,None,None,Winter,Nishad Patnaik,4,SSH
250,Comparative Politics in Digital Era,SSH361,CPDE,None,None,None,Winter,Aasim Khan,4,SSH
